Front,Back,Tags
"septic
/'septik/

_These **septic** isles

Supporters of the union are therefore winning._","## septic

**Chinese:** a. 腐败的, 脓毒性的\nn. 引起腐败的物质
**English:** a. containing or resulting from disease-causing organisms\na. of or relating to or caused by putrefaction
**CEFR:** C1

📊 Appears in 2 issue(s) · 10 occurrences",CEFR::C1
"aria
/'ɑ:riә/

_…s month announced that its new
body—the Advanced Research and Invention Agency (**ARIA**)—would be
led by Peter Highnam, a computer scientist poached, promising…_","## aria

**Chinese:** n. 独唱特写镜头, 咏叹调
**English:** n. an elaborate song for solo voice
**CEFR:** C2

📊 Appears in 2 issue(s) · 5 occurrences",CEFR::C2
"preface
/'prefis/

_For that reason we have
created the attached template for your **preface**._","## preface

**Chinese:** n. 序, 绪言, 前言\nvi. 作序, 写前言\nvt. 给...作序, 以...开始
**English:** n a short introductory essay preceding the text of a book\nv furnish with a preface or introduction
**CEFR:** C1

📊 Appears in 2 issue(s) · 5 occurrences",CEFR::C1
"enamel
/i'næml/

_Regenerative dentistry

the researchers argue, to use those protean cells to regrow a tooth’s **enamel**
naturally._","## enamel

**Chinese:** n. 珐琅, 瓷釉\nvt. 涂以瓷釉, 彩饰
**English:** n. hard white substance covering the crown of a tooth\nn. a colored glassy compound (opaque or partially opaque) that is fused to the surface of metal or glass or pottery for decoration or protection\nn. a paint that dries to a hard glossy finish\nn. any smooth glossy coating that resembles ceramic glaze
**CEFR:** C2

📊 Appears in 2 issue(s) · 5 occurrences",CEFR::C2
"tenor
/'tenә/

_…e professional principals: he
was the first director in Britain to cast a black **tenor**, Ronald Samm, as the
lead in Verdi’s “Otello”.) Anyone could sing in t…_","## tenor

**Chinese:** n. 稳定的进程, 思路, 要旨, 大意, 誊本, 票据的限期, 男高音\na. 男高音的
**English:** n. the adult male singing voice above baritone\nn. the pitch range of the highest male voice\nn. an adult male with a tenor voice\nn. a settled or prevailing or habitual course of a person's life
**CEFR:** A1

📊 Appears in 2 issue(s) · 4 occurrences",CEFR::A1
"retraction
/ri'trækʃәn/

_**Retraction** Watch, an online database, lists
nearly 19,000 papers on biomedical-science topics that have been retracted
(see chart 1)._","## retraction

**Chinese:** n. 缩进, 撤回\n[医] 退缩, 缩回
**English:** n. a disavowal or taking back of a previous assertion\nn. the act of pulling or holding or drawing a part back
**CEFR:** B1

📊 Appears in 2 issue(s) · 4 occurrences",CEFR::B1
"folio
/'fәuliәu/

_Among
dramatists, only Ben Jonson, Shakespeare’s friend and rival, had presumed
to publish a swanky **folio** of “Works” before._","## folio

**Chinese:** n. 对开纸, 页码, (原稿的)一页\na. 对折的, 对开的\nvt. 编页码
**English:** n. a book (or manuscript) consisting of large sheets of paper folded in the middle to make two leaves or four pages
**CEFR:** C2

📊 Appears in 1 issue(s) · 4 occurrences",CEFR::C2
"remembrance
/ri'membrәns/

_**Remembrance** row

quashed it the following year._","## remembrance

**Chinese:** n. 回想, 记忆, 纪念品, 记忆力, 问候, 致意
**English:** n. the ability to recall past occurrences
**CEFR:** B1

📊 Appears in 2 issue(s) · 4 occurrences",CEFR::B1
"sentinel
/'sentinl/

_…the party has built the most capable
surveillance state in history, argues “The **Sentinel** State: Surveillance and the
Survival of Dictatorship in China”, a n…_","## sentinel

**Chinese:** n. 哨兵, 标记\nvt. 警戒, 守卫\n[计] 标记
**English:** n a person employed to keep watch for some anticipated event
**CEFR:** C2

📊 Appears in 2 issue(s) · 4 occurrences",CEFR::C2
"reptile
/'reptail/

_…pressive collection of antivenom, which it
stocks for all of the species in its **Reptile** House, plus more._","## reptile

**Chinese:** n. 爬行动物, 爬虫, 卑鄙的人\na. 爬行的, 爬虫类的, 卑鄙的
**English:** n. any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms
**CEFR:** C2

📊 Appears in 2 issue(s) · 4 occurrences",CEFR::C2
"proctor
/'prɒktә/

_It should be noted that Arthur Miller’s character of
John **Proctor** in that play, a fictional account of the Salem witch trials, was
bas…_","## proctor

**Chinese:** n. 代理人, 监考人, 代诉人\n[法] 代理人, 代诉人, 监督人
**English:** n. someone who supervises (an examination)
**CEFR:** C2

📊 Appears in 1 issue(s) · 4 occurrences",CEFR::C2
"benediction
/.beni'dikʃәn/

_Mrs Chippy’s **benediction**, February 2055: What if marmosets lived on the
Moon?_","## benediction

**Chinese:** n. 祝福
**English:** n. a ceremonial prayer invoking divine protection
**CEFR:** C2

📊 Appears in 1 issue(s) · 3 occurrences",CEFR::C2
"devious
/'di:viәs/

_…son, Mr Srikant says, is that, in a bid to slip their handiwork past
reviewers, **devious** coders often use deceptive but purely cosmetic names for
things like…_","## devious

**Chinese:** a. 偏僻的, 迂回的
**English:** s. indirect in departing from the accepted or proper way; misleading\ns. characterized by insincerity or deceit; evasive\ns. deviating from a straight course
**CEFR:** C2

📊 Appears in 2 issue(s) · 3 occurrences",CEFR::C2
"dew
/dju:/

_Eyes in the ice

known as the Distant Early Warning (**DEW**) line, and established a North
American Aerospace Defence Command (Norad) in Colorado._","## dew

**Chinese:** n. 露珠, 露水\nvt. (用露水)沾湿\nvi. 结露水
**English:** n. water that has condensed on a cool surface overnight from water vapor in the air
**CEFR:** C2

📊 Appears in 2 issue(s) · 3 occurrences",CEFR::C2
