Front,Back,Tags
"pandemic
/pæn'demik/

_…dilemma of 
as a feature iatherthan a ten-
Emnomllt.cam/11118n

18 Brlefln1 The **pandemic** 
-
Anticipeting en •nciont

20 Brlefln1 The pandemic 
-
The outlook…_","## pandemic

**Chinese:** a. 大流行的, 普遍的, 全世界的\n[医] 大流行的, 大流行病
**English:** n. an epidemic that is geographically widespread; occurring throughout a region or even throughout the world\ns. epidemic over a wide geographical area\ns. existing everywhere
**CEFR:** B2

📊 Appears in 192 issue(s) · 914 occurrences",CEFR::B2
"infrastructure
/'infrәstrʌktʃә/

_Such amenities depend, in turn, on a more fundamental form of
**infrastructure**: reliable access to water and electricity, supplies of which…_","## infrastructure

**Chinese:** n. 基础结构, 基础设施\n[经] 基础设施
**English:** n. the basic structure or features of a system or organization\nn. the stock of basic facilities and capital equipment needed for the functioning of a country or area
**CEFR:** B1

📊 Appears in 175 issue(s) · 463 occurrences",CEFR::B1
"parliament
/'pɑ:lәmәnt/

_In a debate in **Parliament** on June 28th, triggered by two
online petitions that garnered mor…_","## parliament

**Chinese:** n. 国会, 议会\n[法] 会议, 国会, 议院
**English:** n. a legislative assembly in certain countries
**CEFR:** B2

📊 Appears in 166 issue(s) · 409 occurrences",CEFR::B2
"obituary
/ә'bitjuәri/

_…eference.com; UN ICAO; Transfermarkt; ultimatealeague.com;
Wind; The Economist

**Obituary**

Running as religion

Nehru, the prime minister, hugged him afterwa…_","## obituary

**Chinese:** a. 关于死亡的, 讣告的\nn. 讣告
**English:** n. a notice of someone's death; usually includes a short biography
**CEFR:** B2

📊 Appears in 201 issue(s) · 401 occurrences",CEFR::B2
"institute
/'institju:t/

_That is not the same thing as an AI that’s
capable of discovery,” says Hars Kritik of the European Robotics **Institute** in
Prague._","## institute

**Chinese:** n. 学会, 学院, 协会\nvt. 创立, 开始, 制定, 任命
**English:** n. an association organized to promote art or science or education\nv. advance or set forth in court
**CEFR:** B1

📊 Appears in 175 issue(s) · 375 occurrences",CEFR::B1
"fiscal
/'fiskәl/

_That would be a bigger **fiscal** burden than
bequeathed by either of the 20th century’s world wars._","## fiscal

**Chinese:** a. 财政的, 国库的\n[经] 财政上的, 会计的, 国库的
**English:** a. involving financial matters
**CEFR:** B2

📊 Appears in 152 issue(s) · 373 occurrences",CEFR::B2
"coalition
/.kәuә'liʃәn/

_But in general elections, low turnout favours the LDP
and Komeito, its **coalition** partner, which have strong networks and
infrastructure to get out…_","## coalition

**Chinese:** n. 结合体, 结合, 联合\n[经] 联合, 联盟
**English:** n. the state of being combined into one body
**CEFR:** B2

📊 Appears in 145 issue(s) · 346 occurrences",CEFR::B2
"equity
/'ekwiti/

_“Law
firms that have become close to the bigger private-**equity** funds and their
lenders have got an absolutely astonishing volume of…_","## equity

**Chinese:** n. 公平, 公正\n[经] 权益, 产权
**English:** n. the difference between the market value of a property and the claims held against it\nn. the ownership interest of shareholders in a corporation
**CEFR:** B2

📊 Appears in 124 issue(s) · 248 occurrences",CEFR::B2
"pacific
/pә'sifik/

_■

Books & arts

The settlement of the **Pacific**

boat”, that is, the vessel’s outrigger, meant “to keep the great Boat upright
from oversetting”._","## pacific

**Chinese:** n. 太平洋\na. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的
**English:** n. the largest ocean in the world\na. relating to or bordering the Pacific Ocean\ns. disposed to peace or of a peaceful nature
**CEFR:** A2

📊 Appears in 111 issue(s) · 210 occurrences",CEFR::A2
"asylum
/ә'sailәm/

_In effect, it bars
entry to most migrants arriving at America’s southern and northern borders,
including those seeking **asylum**._","## asylum

**Chinese:** n. 庇护, 收容所\n[医] 养育院
**English:** n a shelter from danger or hardship\nn a hospital for mentally incompetent or unbalanced person
**CEFR:** C2

📊 Appears in 78 issue(s) · 188 occurrences",CEFR::C2
"ministry
/'ministri/

_■

Sun, sand and scooters

mayor, contacted the transport **ministry** for help in finding an electric bus to
try out on its rugged roads._","## ministry

**Chinese:** n. 部, 内阁, 服务\n[经] 部
**English:** n. religious ministers collectively (especially Presbyterian)\nn. building where the business of a government department is transacted\nn. a government department under the direction of a minister\nn. the work of a minister of religion
**CEFR:** A2

📊 Appears in 107 issue(s) · 173 occurrences",CEFR::A2
"chaos
/'keiɒs/

_Many hoped that Mr Biden
would bring some order to the **chaos** and lay down rules for a return to some
sort of engagement, albeit on…_","## chaos

**Chinese:** n. 大混乱, 混沌\n[化] 混沌; 浑沌
**English:** n. a state of extreme confusion and disorder\nn. the formless and disordered state of matter before the creation of the cosmos\nn. (Greek mythology) the most ancient of gods; the personification of the infinity of space preceding creation of the universe\nn. (physics) a dynamical system that is extremely sensitive to its initial conditions
**CEFR:** B1

📊 Appears in 107 issue(s) · 165 occurrences",CEFR::B1
"vulnerable
/'vʌlnәrәbl/

_…a prophylactic treatment in 2012 has since helped keep
rates of infection among **vulnerable** groups (mainly gay and bisexual men)
in check._","## vulnerable

**Chinese:** a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的\n[医] 易损的
**English:** a. susceptible to attack\ns. susceptible to criticism or persuasion or temptation\ns. capable of being wounded or hurt
**CEFR:** B2

📊 Appears in 112 issue(s) · 164 occurrences",CEFR::B2
"drone
/drәun/

_…eaming the ceremony on
their smartphones and glancing up to catch fireworks and **drone** shows rising
above the stadium’s rafters._","## drone

**Chinese:** n. 雄蜂, 懒惰者, 嗡嗡的声音, 无人驾驶飞机(或船)\nvi. 嗡嗡作声, 混日子\nvt. 低沉地说
**English:** n. stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen\nn. an aircraft without a pilot that is operated by remote control\nn. a pipe of the bagpipe that is tuned to produce a single continuous tone\nv. make a monotonous low dull sound
**CEFR:** C2

📊 Appears in 84 issue(s) · 164 occurrences",CEFR::C2
