Front,Back,Tags
"mr
/'mistә(r)/

_If **Mr** Johnson has his 
handwashingtechniquesare 
weeksayearwillspendan 
lenges, like fintech._","## mr

**Chinese:** 先生\n[计] 存储器回收程序, 多重请求
**English:** n a form of address for a man

📊 Appears in 202 issue(s) · 10717 occurrences",
"china
/'tʃainә/

_It also marked the 
70th founding anniversary of the People’s Republic of **China** (PRC)._","## china

**Chinese:** n. 中国, 瓷器\na. 中国的
**English:** n. a communist nation that covers a vast territory in eastern Asia; the most populous country in the world\nn. high quality porcelain originally made only in China
**CEFR:** B2

📊 Appears in 204 issue(s) · 5857 occurrences",CEFR::B2
"america
/ә'merikә/

_JANUARY 11TH–17TH 2020

**america**’s 2020 election
Checks and Balance

Are you MBA-ready?_","## america

**Chinese:** n. 美洲, 美国
**English:** n. North America and South America and Central America
**CEFR:** A1

📊 Appears in 204 issue(s) · 5737 occurrences",CEFR::A1
"trump
/trʌmp/

_In 2018, when the death rate dropped for the first time in
ages, the **Trump** administration took a victory lap much too soon, touting the
success o…_","## trump

**Chinese:** n. 王牌, 法宝, 喇叭\nvt. 打出王牌赢, 胜过\nvi. 出王牌, 吹喇叭
**English:** n. a playing card in the suit that has been declared trumps\nn. (card games) the suit that has been declared to rank above all other suits for the duration of the hand\nv. produce a sound as if from a trumpet\nv. play a trump
**CEFR:** C2

📊 Appears in 196 issue(s) · 3330 occurrences",CEFR::C2
"american
/ә'merikәn/

_Theprincipleofjudicial 
**American** companies pay on 
lance and limitations to funda-
independence in B…_","## american

**Chinese:** n. 美国人\na. 美国的, 美洲的
**English:** n. a native or inhabitant of the United States\nn. a native or inhabitant of a North American or Central American or South American country\na. of or relating to the United States of America or its people or language or culture
**CEFR:** A1

📊 Appears in 203 issue(s) · 3231 occurrences",CEFR::A1
"bn

_…kers of OxyContin and
other opioid manufacturers and distributors, culminating in last year’s
momentous judgment and a penalty of $350bn—larger than that impose…_","## bn

**Chinese:** abbr. 护理学士（Bachelor of Nursing）；平衡网络（Balancing Network）

📊 Appears in 201 issue(s) · 2844 occurrences",
"britain
/'britәn/

_…wn 
'W'hethereniployeeswould 
at the same time protecting 
cial independence in **Britain** 
Schumpeter(March 7th) con-
share equally in those benefits._","## britain

**Chinese:** n. 英国
**English:** n a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom
**CEFR:** A2

📊 Appears in 203 issue(s) · 2815 occurrences",CEFR::A2
"th

_JANUARY 11TH–17TH 2020

america’s 2020 election
Checks and Balance

Are you MBA-ready?_","## th

**Chinese:** [医] 钍(90号元素)
**English:** n the fifth day of the week; the fourth working day\nn a soft silvery-white tetravalent radioactive metallic element; isotope 232 is used as a power source in nuclear reactors; occurs in thorite and in monazite sands

📊 Appears in 206 issue(s) · 2618 occurrences",
"europe
/'juәrәp/

_(The fact that as many as 70,000 people died as a result of a
heatwave in **Europe** in 2003, for example, became apparent only in 2008.)
Heat also kills…_","## europe

**Chinese:** n. 欧洲
**English:** n. the 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles\nn. the nations of the European continent collectively
**CEFR:** A2

📊 Appears in 201 issue(s) · 2314 occurrences",CEFR::A2
"russia
/'rʌʃә/

_**Russia** was behind a failed coup in Montenegro in 2016 which seemed to
draw support from DF, although it denied involvement._","## russia

**Chinese:** n. 俄国, 俄罗斯\n[法] 俄罗斯, 苏联
**English:** n. a former empire in eastern Europe and northern Asia created in the 14th century with Moscow as the capital; powerful in the 17th and 18th centuries under Peter the Great and Catherine the Great when Saint Petersburg was the capital; overthrown by revolution in 1917\nn. a federation in northeastern Europe and northern Asia; formerly Soviet Russia; since 1991 an independent state
**CEFR:** A2

📊 Appears in 200 issue(s) · 2222 occurrences",CEFR::A2
